Name,Date,Start,Finish,Topic
Committee on Fire and Criminal Justice Services,2014-12-18,12:00,13:45,"Multiple meeting items, please see Meeting Details for more information"
Committee on Veterans,2014-12-18,14:30,16:00,Veterans' eligibility for public housing. (S.1702)
Committee on Contracts,2014-12-18,9:45,11:30,"Multiple meeting items, please see Meeting Details for more information"
Committee on Oversight and Investigations,2014-12-18,13:00,15:00,"Multiple meeting items, please see Meeting Details for more information"
Subcommittee on Libraries,2014-12-17,13:00,14:30,Oversight - New York City Public Library Systems Capital Needs & Planning.
City Council Stated Meeting,2014-12-17,13:30,15:30,"Multiple meeting items, please see Meeting Details for more information"
"Committee on Rules, Privileges and Elections",2014-12-17,10:30,13:00,"Multiple meeting items, please see Meeting Details for more information"
Committee on Finance,2014-12-17,10:00,12:30,"Multiple meeting items, please see Meeting Details for more information"
"Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse and Disability Services",2014-12-17,10:00,12:00,Early intervention program.
Committee on Health,2014-12-16,13:00,14:00,"Multiple meeting items, please see Meeting Details for more information"
"Committee on Cultural Affairs, Libraries and International Intergroup Relations",2014-12-16,10:45,12:00,Recognizing and commemorating January 13th as Korean American Day in NYC.
Committee on Public Housing,2014-12-16,14:00,16:00,Oversight: The Relationship between Lighting and Safety in the Wake of the Akai Gurley Shooting.
Committee on Parks and Recreation,2014-12-16,15:00,16:30,Oversight - The State of Natural Areas Under the Care of the Parks Department.
Committee on Recovery and Resiliency,2014-12-16,9:00,11:30,Creation of a Hurricane Sandy community groups and houses of worship recovery task force.
"Subcommittee on Planning, Dispositions and Concessions",2014-12-15,8:30,10:30,"Multiple meeting items, please see Meeting Details for more information"
"Subcommittee on Landmarks, Public Siting and Maritime Uses",2014-12-15,11:45,13:30,"Landmarks, South Brooklyn Marine Terminal, 81 39th St, Brooklyn (20155247 PNK)"
Committee on Public Safety,2014-12-15,9:00,10:30,Oversight - Examining the Operations of New York Citys Summons Courts.
Committee on Courts and Legal Services,2014-12-15,12:00,13:45,Oversight - Examining the Operations of New York Citys Summons Courts.
Subcommittee on Zoning and Franchises,2014-12-15,14:30,16:00,"Zoning, Eliminating a C1-1 District from within an existing R3-2 District and establishing a C1-2 within an existing R3-2 District, in between Mariners Harbor and Elm Park areas, Staten Island (C 110122 ZMR)"
Committee on Economic Development,2014-12-11,10:00,11:30,Oversight  Mayors Office of Workforce Development: Structural Reforms of the Citys Workforce Development Systems.
Committee on Community Development,2014-12-11,13:00,14:30,Oversight  Mayors Office of Workforce Development: Structural Reforms of the Citys Workforce Development Systems.
Committee on Civil Service and Labor,2014-12-11,12:00,13:30,Oversight  Mayors Office of Workforce Development: Structural Reforms of the Citys Workforce Development Systems.
Committee on Finance,2014-12-11,9:00,10:30,Oversight - The Department of Small Business Services' Neighborhood Development Programs.
Committee on Small Business,2014-12-11,10:00,11:45,Oversight - The Department of Small Business Services' Neighborhood Development Programs.
Committee on Education,2014-12-11,9:30,11:30,"Multiple meeting items, please see Meeting Details for more information"
Committee on Higher Education,2014-12-10,11:00,12:30,Oversight: SEEK and College Discovery Programs at CUNY.
"Committee on Cultural Affairs, Libraries and International Intergroup Relations",2014-12-10,13:00,14:00,Oversight - New York City Public Library Systems Capital Needs & Planning.
Committee on Contracts,2014-12-10,10:00,12:30,"Multiple meeting items, please see Meeting Details for more information"
Committee on Oversight and Investigations,2014-12-10,14:30,16:00,Oversight - Evaluating the Structure and Content of the Mayors Management Report.
Committee on Governmental Operations,2014-12-10,13:00,14:30,Oversight - Evaluating the Structure and Content of the Mayors Management Report.
Committee on Technology,2014-12-09,14:00,15:45,"Multiple meeting items, please see Meeting Details for more information"
Committee on Housing and Buildings,2014-12-09,9:00,11:00,"Multiple meeting items, please see Meeting Details for more information"
Committee on Sanitation and Solid Waste Management,2014-12-09,13:30,14:30,Oversight - NYCs E-Waste Policy: How the City is Ramping Up its Efforts in Light of the 2015 Disposal Ban.
Committee on Aging,2014-12-09,10:00,11:45,Oversight - Providing Support to New York Citys Caregivers.
City Council Stated Meeting,2014-12-08,11:30,13:30,"Multiple meeting items, please see Meeting Details for more information"
Committee on Finance,2014-12-08,9:00,10:30,"Multiple meeting items, please see Meeting Details for more information"
Committee on Housing and Buildings,2014-12-08,13:30,15:00,Conforming the NYC energy conservation code to the NYS energy code with amendments unique to construction in the city and repealing section 28-1001.2 in relation thereto.
Committee on Health,2014-12-08,13:30,15:30,"Multiple meeting items, please see Meeting Details for more information"
Committee on Environmental Protection,2014-12-04,11:00,13:30,"Multiple meeting items, please see Meeting Details for more information"
Committee on Land Use,2014-12-04,14:00,16:00,"Multiple meeting items, please see Meeting Details for more information"
"Subcommittee on Landmarks, Public Siting and Maritime Uses",2014-12-04,10:30,12:00,"Landmarks, 1918 First Ave, Manhattan (20155169 HHM)"
Committee on Finance,2014-12-03,10:30,12:30,"Multiple meeting items, please see Meeting Details for more information"
Committee on Women's Issues,2014-12-03,10:00,12:30,"Multiple meeting items, please see Meeting Details for more information"
Committee on Land Use,2014-12-03,13:45,15:30,"Multiple meeting items, please see Meeting Details for more information"
Committee on Transportation,2014-12-03,14:00,15:45,Oversight - App Technology and the Transformation of the Taxi and For-Hire Industries.
Committee on Civil Rights,2014-12-03,10:45,12:00,Prohibiting discrimination based on ones arrest record or criminal conviction.
Subcommittee on Zoning and Franchises,2014-12-02,9:00,11:30,Oversight  Cablevision Franchise Agreement and Collective Bargaining
Committee on Juvenile Justice,2014-12-02,13:30,15:00,Oversight  Examining DYFJ's Juvenile Justice Oversight Board.
"Subcommittee on Planning, Dispositions and Concessions",2014-12-02,10:30,12:30,"Multiple meeting items, please see Meeting Details for more information"
"Subcommittee on Landmarks, Public Siting and Maritime Uses",2014-12-02,8:30,11:00,"Multiple meeting items, please see Meeting Details for more information"
